"","subject","task","block","display","screen","rt","response","correct","correctResponse","T1.pie","T1.reward","T1.fractalInfo","T1.fractalOut","trial"
"1","1",1,"L","T1Trial","Outcome","547.1","right",1,"right","pie0.png",0,"f0.png","f5.png",1
"2","1",1,"L","T1Trial","Outcome","495.7","left",1,"left","pie13.png",0,"f3.png","f7.png",2
"3","1",1,"L","T1Trial","Outcome","489.2","left",1,"left","pie0.png",0,"f0.png","f5.png",3
"4","1",1,"L","T1Trial","Outcome","431.8","right",1,"right","pie13.png",0,"f3.png","f7.png",4
"5","1",1,"L","T1Trial","Outcome","418.3","right",1,"right","pie23.png",1,"f0.png","f0.png",5
"6","1",1,"L","T1Trial","Outcome","484.7","left",1,"left","pie0.png",0,"f0.png","f5.png",6
"7","1",1,"L","T1Trial","Outcome","396.7","right",1,"right","pie0.png",0,"f0.png","f5.png",7
"8","1",1,"L","T1Trial","Outcome","432.6","right",1,"right","pie13.png",0,"f3.png","f7.png",8
"9","1",1,"L","T1Trial","Outcome","440.5","right",1,"right","pie0.png",0,"f0.png","f5.png",9
"10","1",1,"L","T1Trial","Outcome","427.1","left",1,"left","pie13.png",0,"f3.png","f7.png",10
"11","1",1,"L","T1Trial","Outcome","422.6","right",1,"right","pie23.png",1,"f0.png","f0.png",11
"12","1",1,"L","T1Trial","Outcome","402.3","left",1,"left","pie23.png",1,"f0.png","f0.png",12
"13","1",1,"L","T1Trial","Outcome","453.1","right",1,"right","pie0.png",0,"f0.png","f5.png",13
"14","1",1,"L","T1Trial","Outcome","382.6","right",1,"right","pie13.png",0,"f3.png","f7.png",14
"15","1",1,"L","T1Trial","Outcome","386.5","right",1,"right","pie13.png",1,"f3.png","f6.png",15
"16","1",1,"L","T1Trial","Outcome","470.4","left",1,"left","pie23.png",0,"f0.png","f0.png",16
"17","1",1,"L","T1Trial","Outcome","351.3","right",1,"right","pie0.png",0,"f0.png","f5.png",17
"18","1",1,"L","T1Trial","Outcome","357.7","right",1,"right","pie13.png",0,"f3.png","f7.png",18
"19","1",1,"L","T1Trial","Outcome","337.9","right",1,"right","pie0.png",0,"f0.png","f5.png",19
"20","1",1,"L","T1Trial","Outcome","368","right",1,"right","pie13.png",1,"f3.png","f6.png",20
"21","1",1,"L","T1Trial","Outcome","460.8","left",1,"left","pie23.png",0,"f0.png","f0.png",21
"22","1",1,"L","T1Trial","Outcome","333","right",1,"right","pie23.png",0,"f0.png","f0.png",22
"23","1",1,"L","T1Trial","Outcome","324.1","right",1,"right","pie0.png",0,"f0.png","f5.png",23
"24","1",1,"L","T1Trial","Outcome","458.6","right",1,"right","pie13.png",1,"f3.png","f6.png",24
"25","1",1,"L","T1Trial","Outcome","428.1","left",1,"left","pie0.png",0,"f0.png","f5.png",25
"26","1",1,"L","T1Trial","Outcome","487.3","left",1,"left","pie23.png",1,"f0.png","f0.png",26
"27","1",1,"L","T1Trial","Outcome","439","left",1,"left","pie23.png",1,"f0.png","f0.png",27
"28","1",1,"L","T1Trial","Outcome","384.6","right",1,"right","pie0.png",0,"f0.png","f5.png",28
"29","1",1,"L","T1Trial","Outcome","405.1","left",1,"left","pie13.png",0,"f3.png","f7.png",29
"30","1",1,"L","T1Trial","Outcome","384.2","right",1,"right","pie13.png",1,"f3.png","f6.png",30
"31","1",1,"L","T1Trial","Outcome","348.1","right",1,"right","pie23.png",1,"f0.png","f0.png",31
"32","1",1,"L","T1Trial","Outcome","465.4","left",1,"left","pie0.png",0,"f0.png","f5.png",32
"33","1",1,"L","T1Trial","Outcome","393.9","left",1,"left","pie23.png",1,"f0.png","f0.png",33
"34","1",1,"L","T1Trial","Outcome","382.4","left",1,"left","pie23.png",1,"f0.png","f0.png",34
"35","1",1,"L","T1Trial","Outcome","370.7","right",1,"right","pie13.png",0,"f3.png","f7.png",35
"36","1",1,"L","T1Trial","Outcome","430.6","left",1,"left","pie23.png",0,"f0.png","f0.png",36
"37","1",1,"L","T1Trial","Outcome","424.7","left",1,"left","pie0.png",0,"f0.png","f5.png",37
"38","1",1,"L","T1Trial","Outcome","428.2","left",1,"left","pie13.png",1,"f3.png","f6.png",38
"39","1",1,"L","T1Trial","Outcome","431.4","left",1,"left","pie13.png",0,"f3.png","f7.png",39
"40","1",1,"L","T1Trial","Outcome","416.3","left",1,"left","pie0.png",0,"f0.png","f5.png",40
"41","1",1,"L","T1Trial","Outcome","459.5","left",1,"left","pie23.png",1,"f0.png","f0.png",41
"42","1",1,"L","T1Trial","Outcome","380.4","left",1,"left","pie23.png",1,"f0.png","f0.png",42
"43","1",1,"L","T1Trial","Outcome","424.2","left",1,"left","pie23.png",1,"f0.png","f0.png",43
"44","1",1,"L","T1Trial","Outcome","418.9","right",1,"right","pie13.png",0,"f3.png","f7.png",44
"45","1",1,"L","T1Trial","Outcome","446.7","left",1,"left","pie13.png",1,"f3.png","f6.png",45
"46","1",1,"L","T1Trial","Outcome","414.9","right",1,"right","pie13.png",0,"f3.png","f7.png",46
"47","1",1,"L","T1Trial","Outcome","401.9","right",1,"right","pie13.png",0,"f3.png","f7.png",47
"48","1",1,"L","T1Trial","Outcome","398.1","right",1,"right","pie23.png",0,"f0.png","f0.png",48
"49","1",1,"L","T1Trial","Outcome","392.6","right",1,"right","pie23.png",0,"f0.png","f0.png",49
"50","1",1,"L","T1Trial","Outcome","436.5","left",1,"left","pie13.png",0,"f3.png","f7.png",50
"51","1",1,"L","T1Trial","Outcome","382.9","right",1,"right","pie23.png",1,"f0.png","f0.png",51
"52","1",1,"L","T1Trial","Outcome","394.4","right",1,"right","pie23.png",1,"f0.png","f0.png",52
"53","1",1,"L","T1Trial","Outcome","455.3","left",1,"left","pie0.png",0,"f0.png","f5.png",53
"54","1",1,"L","T1Trial","Outcome","424.4","right",1,"right","pie0.png",0,"f0.png","f5.png",54
"55","1",1,"L","T1Trial","Outcome","402.2","left",1,"left","pie13.png",1,"f3.png","f6.png",55
"56","1",1,"L","T1Trial","Outcome","382","right",1,"right","pie0.png",0,"f0.png","f5.png",56
"57","1",1,"L","T1Trial","Outcome","393.4","right",1,"right","pie0.png",0,"f0.png","f5.png",57
"58","1",1,"L","T1Trial","Outcome","390.3","left",1,"left","pie23.png",0,"f0.png","f0.png",58
"59","1",1,"L","T1Trial","Outcome","354.7","right",1,"right","pie0.png",0,"f0.png","f5.png",59
"60","1",1,"L","T1Trial","Outcome","358.4","right",1,"right","pie0.png",0,"f0.png","f5.png",60
"61","1",1,"L","T1Trial","Outcome","412.3","left",1,"left","pie13.png",0,"f3.png","f7.png",61
"62","1",1,"L","T1Trial","Outcome","496.3","left",1,"left","pie0.png",0,"f0.png","f5.png",62
"63","1",1,"L","T1Trial","Outcome","393","right",1,"right","pie0.png",0,"f0.png","f5.png",63
"64","1",1,"L","T1Trial","Outcome","428.2","left",1,"left","pie13.png",0,"f3.png","f7.png",64
"65","1",1,"L","T1Trial","Outcome","463.1","left",1,"left","pie23.png",0,"f0.png","f0.png",65
"66","1",1,"L","T1Trial","Outcome","431.5","left",1,"left","pie23.png",1,"f0.png","f0.png",66
"67","1",1,"L","T1Trial","Outcome","474.2","right",1,"right","pie13.png",0,"f3.png","f7.png",67
"68","1",1,"L","T1Trial","Outcome","435.3","right",1,"right","pie23.png",1,"f0.png","f0.png",68
"69","1",1,"L","T1Trial","Outcome","397.4","left",1,"left","pie23.png",1,"f0.png","f0.png",69
"70","1",1,"L","T1Trial","Outcome","400.7","right",1,"right","pie0.png",0,"f0.png","f5.png",70
"71","1",1,"L","T1Trial","Outcome","434.9","left",1,"left","pie0.png",0,"f0.png","f5.png",71
"72","1",1,"L","T1Trial","Outcome","445.3","left",1,"left","pie13.png",1,"f3.png","f6.png",72
"73","1",1,"H","T1Trial","Outcome","373.4","right",1,"right","pie23.png",1,"f0.png","f0.png",73
"74","1",1,"H","T1Trial","Outcome","513.3","left",1,"left","pie1.png",1,"f1.png","f4.png",74
