"","subject","task","display","screen","rt","response","T2.leftFractal","T2.rightFractal","trial","T2.chosenFractal"
"1","1",2,"T2Trial","Choice","926.2","left","fr0p0","fp13L",1,"fr0p0"
"2","1",2,"T2Trial","Choice","697.4","right","fr0p13","fp13H",2,"fp13H"
"3","1",2,"T2Trial","Choice","507.5","right","fr0p0","fr0p13",3,"fr0p13"
"4","1",2,"T2Trial","Choice","919.9","left","fp1H","fp13H",4,"fp1H"
"5","1",2,"T2Trial","Choice","778.3","left","fp1H","fp13H",5,"fp1H"
"6","1",2,"T2Trial","Choice","1123.1","right","fp13H","fp13L",6,"fp13L"
"7","1",2,"T2Trial","Choice","877.8","right","fr1p13","fr1p1",7,"fr1p1"
"8","1",2,"T2Trial","Choice","1193.9","left","fr1p1","fr1p13",8,"fr1p1"
"9","1",2,"T2Trial","Choice","1178.3","right","fp13L","fr0p0",9,"fr0p0"
"10","1",2,"T2Trial","Choice","722.2","left","fp13H","fp1H",10,"fp13H"
"11","1",2,"T2Trial","Choice","1236.8","right","fr0p0","fp13L",11,"fp13L"
"12","1",2,"T2Trial","Choice","1019.6","right","fr1p13","fr1p1",12,"fr1p1"
"13","1",2,"T2Trial","Choice","1338.3","left","fp13L","fr0p0",13,"fp13L"
"14","1",2,"T2Trial","Choice","899.9","left","fp13H","fp13L",14,"fp13H"
"15","1",2,"T2Trial","Choice","976.1","right","fr0p13","fp13H",15,"fp13H"
"16","1",2,"T2Trial","Choice","1192.7","left","fr0p0","fr0p13",16,"fr0p0"
"17","1",2,"T2Trial","Choice","912.8","right","fp13L","fp13H",17,"fp13H"
"18","1",2,"T2Trial","Choice","1260","right","fr0p13","fr0p0",18,"fr0p0"
"19","1",2,"T2Trial","Choice","760.8","left","fp13H","fr0p13",19,"fp13H"
"20","1",2,"T2Trial","Choice","1146.5","left","fr0p0","fr0p13",20,"fr0p0"
"21","1",2,"T2Trial","Choice","1157.4","left","fr1p1","fr1p13",21,"fr1p1"
"22","1",2,"T2Trial","Choice","958.2","right","fp13L","fp13H",22,"fp13H"
"23","1",2,"T2Trial","Choice","806.8","left","fp13H","fr0p13",23,"fp13H"
"24","1",2,"T2Trial","Choice","518.4","right","fp1H","fp13H",24,"fp13H"
"25","2",2,"T2Trial","Choice","1929.9","right","fp13H","fp13L",1,"fp13L"
"26","2",2,"T2Trial","Choice","1788","right","fp13H","fr0p13",2,"fr0p13"
"27","2",2,"T2Trial","Choice","1908.7","right","fr0p13","fp13H",3,"fp13H"
"28","2",2,"T2Trial","Choice","1076.4","left","fp13L","fr0p0",4,"fp13L"
"29","2",2,"T2Trial","Choice","1719","right","fr0p13","fr0p0",5,"fr0p0"
