"","subject","task","display","screen","rt","response","T3.img","trial"
"1","1",3,"T3Trial","Rating Screen","3275.5",3,"13.png",1
"2","1",3,"T3Trial","Rating Screen","2951.4",0,"37.png",2
"3","1",3,"T3Trial","Rating Screen","3070.2",1,"31.png",3
"4","1",3,"T3Trial","Rating Screen","2381.7",2,"33.png",4
"5","1",3,"T3Trial","Rating Screen","2323.1",3,"14.png",5
"6","1",3,"T3Trial","Rating Screen","1526.1",3,"17.png",6
"7","1",3,"T3Trial","Rating Screen","2169.9",2,"34.png",7
"8","1",3,"T3Trial","Rating Screen","3018.5",1,"62.png",8
"9","1",3,"T3Trial","Rating Screen","1604",3,"61.png",9
"10","1",3,"T3Trial","Rating Screen","1702.7",3,"63.png",10
"11","1",3,"T3Trial","Rating Screen","1407.9",2,"16.png",11
"12","1",3,"T3Trial","Rating Screen","1351.9",3,"38.png",12
"13","1",3,"T3Trial","Rating Screen","1662.4",1,"69.png",13
"14","1",3,"T3Trial","Rating Screen","2131",0,"23.png",14
"15","1",3,"T3Trial","Rating Screen","1381",3,"68.png",15
"16","1",3,"T3Trial","Rating Screen","1409.3",3,"1.png",16
"17","1",3,"T3Trial","Rating Screen","2863.2",3,"35.png",17
"18","1",3,"T3Trial","Rating Screen","1089",3,"59.png",18
"19","1",3,"T3Trial","Rating Screen","2257.2",-1,"10.png",19
"20","1",3,"T3Trial","Rating Screen","1324.5",3,"12.png",20
"21","1",3,"T3Trial","Rating Screen","2312.2",2,"60.png",21
"22","1",3,"T3Trial","Rating Screen","1477.3",2,"51.png",22
"23","1",3,"T3Trial","Rating Screen","1627.7",2,"57.png",23
"24","1",3,"T3Trial","Rating Screen","2274.5",1,"26.png",24
"25","1",3,"T3Trial","Rating Screen","2014.9",3,"22.png",25
"26","1",3,"T3Trial","Rating Screen","2273.5",3,"71.png",26
"27","1",3,"T3Trial","Rating Screen","2367.7",1,"52.png",27
"28","1",3,"T3Trial","Rating Screen","2648.2",2,"2.png",28
"29","1",3,"T3Trial","Rating Screen","1163.5",1,"29.png",29
"30","1",3,"T3Trial","Rating Screen","2698.9",1,"41.png",30
"31","1",3,"T3Trial","Rating Screen","1728.3",3,"56.png",31
"32","1",3,"T3Trial","Rating Screen","2742.4",1,"72.png",32
"33","1",3,"T3Trial","Rating Screen","1519.9",2,"64.png",33
"34","1",3,"T3Trial","Rating Screen","2028",2,"46.png",34
"35","1",3,"T3Trial","Rating Screen","1417.8",3,"9.png",35
"36","1",3,"T3Trial","Rating Screen","2079.3",2,"8.png",36
"37","1",3,"T3Trial","Rating Screen","1708.8",1,"44.png",37
"38","1",3,"T3Trial","Rating Screen","1854",1,"25.png",38
"39","1",3,"T3Trial","Rating Screen","1536.5",1,"18.png",39
"40","1",3,"T3Trial","Rating Screen","2694.3",2,"36.png",40
"41","1",3,"T3Trial","Rating Screen","1921.8",1,"53.png",41
"42","1",3,"T3Trial","Rating Screen","2137.9",3,"20.png",42
"43","1",3,"T3Trial","Rating Screen","1609.4",2,"7.png",43
"44","1",3,"T3Trial","Rating Screen","1916.3",2,"19.png",44
"45","1",3,"T3Trial","Rating Screen","1287.3",2,"49.png",45
"46","1",3,"T3Trial","Rating Screen","2628.6",2,"24.png",46
"47","1",3,"T3Trial","Rating Screen","1758.6",3,"67.png",47
"48","1",3,"T3Trial","Rating Screen","1791.7",1,"40.png",48
"49","1",3,"T3Trial","Rating Screen","1969.1",2,"4.png",49
"50","1",3,"T3Trial","Rating Screen","2899.4",1,"39.png",50
