"","subject","display","screen","task","block","response","rt","correct","correctResponse","T1.pie","T1.reward","T1.fractalInfo","T1.fractalOut","T1.leftInfo","T1.rightInfo","T1.leftOut","T1.rightOut","mapping","T2.leftFractal","T2.rightFractal","T3.img"
"1","1","","",NA,"","","",0,"","",NA,"","","","","","","","","",""
"2","1","Overview","Welcome",NA,"","Continue","7222.4",1,"left","",NA,"f0.png","f0.png","f0.png","","","f0.png","","","",""
"3","1","Overview","Compensation",NA,"","Continue","8105.6",1,"left","",NA,"f0.png","f0.png","f0.png","","","f0.png","","","",""
"4","1","Overview","Ready",NA,"","Start","1214.1",1,"left","",NA,"f0.png","f0.png","f0.png","","","f0.png","","","",""
"5","1","T1Instructions","T1 Title",1,"","","2000.012",0,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"6","1","T1Instructions","Progress",1,"","Continue","18569.6",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"7","1","T1Instructions","Info",1,"","Continue","22688.5",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"8","1","T1Instructions","Wait",1,"","Continue","3751.8",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"9","1","T1Instructions","OutFeed1",1,"","Continue","24212.9",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"10","1","T1Instructions","OutFeed2",1,"","Continue","3385.2",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"11","1","T1Instructions","OutFeed3",1,"","Continue","7280.9",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"12","1","T1Instructions","Block",1,"","Continue","19365.8",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"13","1","T1Instructions","Ready",1,"","Start","3867.1",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"14","1","T1Instructions","Practice Block",1,"","Start","7442.4",1,"right","",NA,"f0.png","f0.png","","f0.png","f0.png","","","","",""
"15","1","Practice","Progress",1,"H","","1000.044",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","practice2.jpg","f4.png","","","",""
"16","1","Practice","Pie",1,"H","","999.783",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","practice2.jpg","f4.png","","","",""
"17","1","Practice","Wait",1,"H","","1500.156",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","practice2.jpg","f4.png","","","",""
"18","1","Practice","Outcome",1,"H","left","569.9",1,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","practice2.jpg","f4.png","","","",""
"19","1","Practice","left",1,"H","","999.897",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","practice2.jpg","f4.png","","","",""
"20","1","Practice","Blank",1,"H","","16.655",0,"left","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","practice2.jpg","f4.png","","","",""
"21","1","Practice","Progress",1,"H","","1000.154",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","practice1.jpg","","","",""
"22","1","Practice","Pie",1,"H","","1000.009",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","practice1.jpg","","","",""
"23","1","Practice","Wait",1,"H","","1499.813",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","practice1.jpg","","","",""
"24","1","Practice","Outcome",1,"H","right","444.5",1,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","practice1.jpg","","","",""
"25","1","Practice","right",1,"H","","999.989",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","practice1.jpg","","","",""
"26","1","Practice","Blank",1,"H","","16.721",0,"right","pie1.png",1,"f1.png","f4.png","f1.png","pie1.png","f4.png","practice1.jpg","","","",""
"27","1","Practice","Progress",1,"L","","999.967",0,"left","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","0.png","f5.png","","","",""
"28","1","Practice","Pie",1,"L","","999.991",0,"left","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","0.png","f5.png","","","",""
"29","1","Practice","Wait",1,"L","","1500.009",0,"left","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","0.png","f5.png","","","",""
"30","1","Practice","Outcome",1,"L","left","487",1,"left","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","0.png","f5.png","","","",""
"31","1","Practice","left",1,"L","","1000.097",0,"left","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","0.png","f5.png","","","",""
"32","1","Practice","Blank",1,"L","","16.662",0,"left","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","0.png","f5.png","","","",""
"33","1","Practice","Progress",1,"H","","1000.033",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"34","1","Practice","Pie",1,"H","","999.997",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"35","1","Practice","Wait",1,"H","","1499.981",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"36","1","Practice","Outcome",1,"H","left","519.6",1,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"37","1","Practice","left",1,"H","","999.985",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"38","1","Practice","Blank",1,"H","","16.67",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"39","1","Practice","Progress",1,"H","","999.961",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice3.jpg","f0.png","","","",""
"40","1","Practice","Pie",1,"H","","999.964",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice3.jpg","f0.png","","","",""
"41","1","Practice","Wait",1,"H","","1500.015",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice3.jpg","f0.png","","","",""
"42","1","Practice","Outcome",1,"H","left","437.3",1,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice3.jpg","f0.png","","","",""
"43","1","Practice","left",1,"H","","999.978",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice3.jpg","f0.png","","","",""
"44","1","Practice","Blank",1,"H","","16.689",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice3.jpg","f0.png","","","",""
"45","1","Practice","Progress",1,"L","","1000.002",0,"right","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","f5.png","0.png","","","",""
"46","1","Practice","Pie",1,"L","","999.979",0,"right","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","f5.png","0.png","","","",""
"47","1","Practice","Wait",1,"L","","1500.014",0,"right","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","f5.png","0.png","","","",""
"48","1","Practice","Outcome",1,"L","right","552.6",1,"right","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","f5.png","0.png","","","",""
"49","1","Practice","right",1,"L","","999.869",0,"right","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","f5.png","0.png","","","",""
"50","1","Practice","Blank",1,"L","","16.677",0,"right","pie0.png",0,"f0.png","f5.png","f0.png","pie0.png","f5.png","0.png","","","",""
"51","1","Practice","Progress",1,"L","","1000.137",0,"right","pie13.png",1,"f3.png","f6.png","pie13.png","f3.png","f6.png","practice5.jpg","","","",""
"52","1","Practice","Pie",1,"L","","1000",0,"right","pie13.png",1,"f3.png","f6.png","pie13.png","f3.png","f6.png","practice5.jpg","","","",""
"53","1","Practice","Wait",1,"L","","1499.814",0,"right","pie13.png",1,"f3.png","f6.png","pie13.png","f3.png","f6.png","practice5.jpg","","","",""
"54","1","Practice","Outcome",1,"L","right","484.7",1,"right","pie13.png",1,"f3.png","f6.png","pie13.png","f3.png","f6.png","practice5.jpg","","","",""
"55","1","Practice","right",1,"L","","1000.155",0,"right","pie13.png",1,"f3.png","f6.png","pie13.png","f3.png","f6.png","practice5.jpg","","","",""
"56","1","Practice","Blank",1,"L","","16.661",0,"right","pie13.png",1,"f3.png","f6.png","pie13.png","f3.png","f6.png","practice5.jpg","","","",""
"57","1","Practice","Progress",1,"L","","1000.003",0,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
"58","1","Practice","Pie",1,"L","","999.982",0,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
"59","1","Practice","Wait",1,"L","","1500.012",0,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
"60","1","Practice","Outcome",1,"L","left","469.4",1,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
"61","1","Practice","left",1,"L","","999.89",0,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
"62","1","Practice","Blank",1,"L","","16.696",0,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
"63","1","Practice","Progress",1,"H","","1000.108",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice4.jpg","f0.png","","","",""
"64","1","Practice","Pie",1,"H","","1000.003",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice4.jpg","f0.png","","","",""
"65","1","Practice","Wait",1,"H","","1500.039",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice4.jpg","f0.png","","","",""
"66","1","Practice","Outcome",1,"H","left","557.6",1,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice4.jpg","f0.png","","","",""
"67","1","Practice","left",1,"H","","999.994",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice4.jpg","f0.png","","","",""
"68","1","Practice","Blank",1,"H","","16.691",0,"left","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","practice4.jpg","f0.png","","","",""
"69","1","Practice","Progress",1,"L","","999.991",0,"left","pie13.png",0,"f3.png","f7.png","pie13.png","f3.png","0.png","f7.png","","","",""
