"","stim"
"1","st547.bmp"
"2","st100.bmp"
"3","st450.bmp"
"4","st246.bmp"
"5","st282.bmp"
"6","st518.bmp"
"7","st221.bmp"
"8","st233.bmp"
"9","st138.bmp"
"10","st1.bmp"
"11","st526.bmp"
"12","st57.bmp"
"13","st85.bmp"
"14","st17.bmp"
"15","st18.bmp"
"16","st177.bmp"
"17","st29.bmp"
"18","st63.bmp"
"19","st222.bmp"
"20","st256.bmp"
"21","st529.bmp"
"22","st517.bmp"
"23","st276.bmp"
"24","st56.bmp"
"25","st258.bmp"
"26","st67.bmp"
"27","st39.bmp"
"28","st498.bmp"
"29","st228.bmp"
"30","st55.bmp"
"31","st264.bmp"
"32","st52.bmp"
"33","st58.bmp"
"34","st120.bmp"
"35","st491.bmp"
"36","st203.bmp"
"37","st146.bmp"
"38","st227.bmp"
"39","st454.bmp"
"40","st528.bmp"
"41","st494.bmp"
"42","st60.bmp"
"43","st198.bmp"
"44","st116.bmp"
"45","st176.bmp"
"46","st6.bmp"
"47","st147.bmp"
"48","st40.bmp"
"49","st41.bmp"
"50","st289.bmp"
"51","st164.bmp"
"52","st273.bmp"
"53","st173.bmp"
"54","st88.bmp"
"55","st65.bmp"
"56","st7.bmp"
"57","st158.bmp"
"58","st453.bmp"
"59","st45.bmp"
"60","st483.bmp"
"61","st149.bmp"
"62","st74.bmp"
"63","st170.bmp"
"64","st514.bmp"
"65","st82.bmp"
"66","st274.bmp"
"67","st257.bmp"
"68","st269.bmp"
"69","st455.bmp"
"70","st197.bmp"
"71","st51.bmp"
"72","st21.bmp"
"73","st2.bmp"
